timepoint,#_unique_alpha_cdr3_per_cell,#_unique_beta_cdr3_per_cell
IP,1.13,1.0398467432950191
-12,0.7037037037037037,0.6601941747572816
0,0.946236559139785,0.8457943925233645
14,0.9680851063829787,0.9210526315789473
28,0.327718223583461,0.22710280373831776
