timepoint,#_unique_alpha_cdr3_per_cell,#_unique_beta_cdr3_per_cell
IP,1.1603053435114503,1.0583109919571045
0,0.5723732549595886,0.5242656449553001
1,0.6666666666666666,0.6302521008403361
14,0.6872037914691943,0.6063492063492063
28,0.75,0.625
90,0.6818923327895595,0.6583806818181818
