timepoint,#_unique_alpha_cdr3_per_cell,#_unique_beta_cdr3_per_cell
IP,1.1190316072629456,1.0230031948881788
0,0.8961038961038961,0.8888888888888888
14,0.7123287671232876,0.5506172839506173
28,0.21779859484777517,0.20928116469517744
90,0.3526077097505669,0.3193717277486911
224,0.6632653061224489,0.6155606407322655
